,Time,Status,Message
0,0 days 00:07:45.636000,1,AllClear
1,0 days 00:33:34.595000,2,Yellow
2,0 days 00:33:36.095000,1,AllClear
3,0 days 00:33:43.625000,2,Yellow
4,0 days 00:34:09.986000,1,AllClear
5,0 days 01:11:10.759000,2,Yellow
6,0 days 01:12:38.062000,6,VSCDeployed
7,0 days 01:13:02.099000,7,VSCEnding
8,0 days 01:13:15.888000,1,AllClear
9,0 days 01:39:57.577000,2,Yellow
10,0 days 01:40:35.530000,4,SCDeployed
11,0 days 01:53:53.388000,1,AllClear
12,0 days 01:54:36.713000,2,Yellow
13,0 days 01:54:44.245000,1,AllClear
