,Time,Status,Message
0,0 days 00:02:49.680000,1,AllClear
1,0 days 00:27:39.207000,2,Yellow
2,0 days 00:27:48.096000,1,AllClear
3,0 days 00:28:26.329000,2,Yellow
4,0 days 00:28:30.945000,1,AllClear
5,0 days 00:32:17.953000,2,Yellow
6,0 days 00:32:19.329000,1,AllClear
7,0 days 00:33:27.961000,2,Yellow
8,0 days 00:33:32.467000,1,AllClear
9,0 days 00:41:04.172000,2,Yellow
10,0 days 00:41:08.798000,1,AllClear
11,0 days 00:53:27.543000,2,Yellow
12,0 days 00:53:51.158000,1,AllClear
13,0 days 01:15:29.316000,2,Yellow
14,0 days 01:15:31.501000,1,AllClear
15,0 days 01:17:24.211000,2,Yellow
16,0 days 01:17:34.620000,1,AllClear
17,0 days 01:27:57.646000,2,Yellow
18,0 days 01:28:32.488000,4,SCDeployed
19,0 days 01:41:42.267000,1,AllClear
20,0 days 02:01:37.754000,2,Yellow
21,0 days 02:02:46.814000,4,SCDeployed
22,0 days 02:06:03.265000,5,Red
23,0 days 02:08:36.346000,1,AllClear
24,0 days 02:10:24.360000,2,Yellow
25,0 days 02:10:37.354000,1,AllClear
26,0 days 02:44:10.459000,2,Yellow
27,0 days 02:44:16.002000,1,AllClear
28,0 days 02:48:39.043000,2,Yellow
29,0 days 02:50:42.346000,1,AllClear
