,race_id,Time,Status,Message
0,997,0 days 00:08:50.939000,2,Yellow
1,997,0 days 00:08:59.637000,1,AllClear
2,997,0 days 00:20:11.925000,2,Yellow
3,997,0 days 00:20:24.836000,1,AllClear
4,997,0 days 00:20:29.649000,2,Yellow
5,997,0 days 00:20:58.721000,1,AllClear
6,997,0 days 00:22:53.051000,2,Yellow
7,997,0 days 00:23:23.891000,6,VSCDeployed
8,997,0 days 00:25:17.153000,7,VSCEnding
9,997,0 days 00:25:27.155000,1,AllClear
10,997,0 days 01:09:04.645000,2,Yellow
11,997,0 days 01:10:36.446000,1,AllClear
12,997,0 days 01:10:50.645000,2,Yellow
13,997,0 days 01:10:52.201000,1,AllClear
14,997,0 days 01:10:53.447000,2,Yellow
15,997,0 days 01:11:14.290000,1,AllClear
16,997,0 days 01:11:59.724000,2,Yellow
17,997,0 days 01:12:51.103000,1,AllClear
18,997,0 days 01:19:26.932000,2,Yellow
19,997,0 days 01:19:30.706000,1,AllClear
20,997,0 days 01:20:22.350000,2,Yellow
21,997,0 days 01:21:13.115000,1,AllClear
22,997,0 days 01:29:56.639000,2,Yellow
23,997,0 days 01:30:14.550000,1,AllClear
