,race_id,Time,Status,Message
0,999,0 days 00:44:03.011000,2,Yellow
1,999,0 days 00:45:27.208000,1,AllClear
2,999,0 days 01:09:39.076000,2,Yellow
3,999,0 days 01:09:51.155000,1,AllClear
4,999,0 days 01:11:19.205000,2,Yellow
5,999,0 days 01:11:20.843000,1,AllClear
6,999,0 days 01:13:45.667000,2,Yellow
7,999,0 days 01:13:56.558000,1,AllClear
8,999,0 days 01:14:50.284000,2,Yellow
9,999,0 days 01:15:05.199000,1,AllClear
10,999,0 days 01:15:27.833000,2,Yellow
11,999,0 days 01:15:43.951000,4,SCDeployed
12,999,0 days 01:26:35.450000,1,AllClear
