race_id,year,round,race_name,race_date,circuit_id,circuit_name,circuit_country,circuit_length_KM,circuit_altitude_M,circuit_elevation_change_M,circuit_num_left_turns,circuit_num_right_turns,pressure_mb,humidity_percent,track_temp_C,windspeed_KPH,rainfall,num_red_flag,num_safety_car
1027,2019,18,Mexican Grand Prix,27/10/2019,32,Autódromo Hermanos Rodríguez,Mexico,4.304,2227,2.8,7,10,780.509,46.288,41.633,1.327,0,0,0
1028,2019,19,United States Grand Prix,03/11/2019,69,Circuit of the Americas,USA,5.513,161,30.9,12,8,1001.476,29.243,29.082,2.553,0,0,0
1029,2019,20,Brazilian Grand Prix,17/11/2019,18,Autódromo José Carlos Pace,Brazil,4.309,785,43,10,5,924.792,60.289,46.453,1.288,0,0,2
1030,2019,21,Abu Dhabi Grand Prix,01/12/2019,24,Yas Marina Circuit,UAE,5.281,3,10.7,9,7,1015.383,64.471,29.566,1.265,0,0,0
1031,2020,1,Austrian Grand Prix,05/07/2020,70,Red Bull Ring,Austria,4.318,678,63.5,3,7,938.771,33.833,52.025,1.887,0,0,3
1032,2020,2,Styrian Grand Prix,12/07/2020,70,Red Bull Ring,Austria,4.318,678,63.5,3,7,945.91,34.005,39.92,2.228,0,0,1
1033,2020,3,Hungarian Grand Prix,19/07/2020,11,Hungaroring,Hungary,4.381,264,34.7,6,8,986.315,77.193,27.13,1.56,0,0,0
1034,2020,4,British Grand Prix,02/08/2020,9,Silverstone Circuit,UK,5.891,153,11.3,8,10,998.409,44.168,40.633,3.114,0,0,2
1035,2020,5,70th Anniversary Grand Prix,09/08/2020,9,Silverstone Circuit,UK,5.891,153,11.3,8,10,1000.951,58.556,43.228,2.236,0,0,0
1036,2020,6,Spanish Grand Prix,16/08/2020,4,Circuit de Barcelona-Catalunya,Spain,4.675,109,29.6,7,9,997.704,56.384,47.556,1.545,0,0,0
1037,2020,7,Belgian Grand Prix,30/08/2020,13,Circuit de Spa-Francorchamps,Belgium,7.004,401,102.2,9,11,962.43,54.853,29.824,1.465,0,0,1
1038,2020,8,Italian Grand Prix,06/09/2020,14,Autodromo Nazionale di Monza,Italy,5.793,162,12.8,4,7,990.78,40.124,41.201,1.521,0,1,2
1039,2020,9,Tuscan Grand Prix,13/09/2020,76,Autodromo Internazionale del Mugello,Italy,5.245,255,43,6,9,993.615,39.944,43.102,2.365,0,2,3
1040,2020,10,Russian Grand Prix,27/09/2020,71,Sochi Autodrom,Russia,5.848,2,1.9,8,11,1012.879,51.363,40.342,1.429,0,0,1
1041,2020,11,Eifel Grand Prix,11/10/2020,20,Nürburgring,Germany,5.148,578,23,6,9,947.359,59.404,16.36,1.617,0,0,1
1042,2020,12,Portuguese Grand Prix,25/10/2020,75,Autódromo Internacional do Algarve,Portugal,4.653,108,33,6,9,1007.341,67.528,25.716,4.041,0,0,0
1043,2020,13,Emilia Romagna Grand Prix,01/11/2020,21,Autodromo Enzo e Dino Ferrari,Italy,4.909,37,33.32,10,9,1017.892,71.137,23.261,1.342,0,0,1
1044,2020,14,Turkish Grand Prix,15/11/2020,5,Istanbul Park,Turkey,5.338,130,46,8,6,1008.496,80.161,15.206,1.066,0,0,0
1045,2020,15,Bahrain Grand Prix,29/11/2020,3,Bahrain International Circuit,Bahrain,5.412,7,16.9,6,9,1015.897,67.847,27.548,0.843,0,1,2
1046,2020,16,Sakhir Grand Prix,06/12/2020,80,Bahrain International Circuit,Bahrain,3.543,7,16.9,3,8,1015.942,58.169,23.469,1.948,0,0,2
1047,2020,17,Abu Dhabi Grand Prix,13/12/2020,24,Yas Marina Circuit,UAE,5.281,3,10.7,9,7,1015.847,55.447,27.98,2.504,0,0,1
1051,2021,20,Qatar Grand Prix,21/11/2021,78,Losail International Circuit,Qatar,5.38,5,1,6,10,1012.307,75.54,30.603,0.423,0,0,0
1052,2021,1,Bahrain Grand Prix,28/03/2021,3,Bahrain International Circuit,Bahrain,5.412,7,16.9,6,9,1014.911,54.517,27.628,0.887,0,0,1
1053,2021,2,Emilia Romagna Grand Prix,18/04/2021,21,Autodromo Enzo e Dino Ferrari,Italy,4.909,37,33.32,10,9,1011.253,69.489,16.827,0.479,1,1,2
1054,2021,3,Portuguese Grand Prix,02/05/2021,75,Autódromo Internacional do Algarve,Portugal,4.653,108,33,6,9,1004.813,39.404,38.951,0.837,0,0,1
1055,2021,4,Spanish Grand Prix,09/05/2021,4,Circuit de Barcelona-Catalunya,Spain,4.675,109,29.6,7,9,993.575,57.553,32.922,0.458,0,0,1
1056,2021,5,Monaco Grand Prix,23/05/2021,6,Circuit de Monaco,Monaco,3.337,7,42,8,11,1015.571,61.424,37.596,0.316,0,0,0
1057,2021,6,Azerbaijan Grand Prix,06/06/2021,73,Baku City Circuit,Azerbaijan,6.003,-7,26.8,12,8,1014.731,55.805,38.315,0.284,0,1,2
1058,2021,7,Styrian Grand Prix,27/06/2021,70,Red Bull Ring,Austria,4.318,678,63.5,3,7,960.638,58.63,35.229,1.166,0,0,0
1059,2021,8,French Grand Prix,20/06/2021,34,Circuit Paul Ricard,France,5.842,432,33,6,9,938.477,33.247,52.353,0.368,0,0,0
1060,2021,9,Austrian Grand Prix,04/07/2021,70,Red Bull Ring,Austria,4.318,678,63.5,3,7,934.721,49.731,33.184,0.348,0,0,1
1061,2021,10,British Grand Prix,18/07/2021,9,Silverstone Circuit,UK,5.891,153,11.3,8,10,1007.246,37.202,50.932,0.318,0,1,1
1062,2021,11,Hungarian Grand Prix,01/08/2021,11,Hungaroring,Hungary,4.381,264,34.7,6,8,977.631,68.616,37.823,0.568,1,1,1
1063,2021,12,Belgian Grand Prix,29/08/2021,13,Circuit de Spa-Francorchamps,Belgium,7.004,401,102.2,9,11,970.222,96.436,15.259,0.511,1,2,0
1064,2021,13,Dutch Grand Prix,05/09/2021,39,Circuit Park Zandvoort,Netherlands,4.259,6,7.92,4,5,1021.506,54.108,36.106,0.442,0,0,0
1065,2021,14,Italian Grand Prix,12/09/2021,14,Autodromo Nazionale di Monza,Italy,5.793,162,12.8,4,7,994.488,33.276,43.528,0.343,0,0,1
1066,2021,15,Russian Grand Prix,26/09/2021,71,Sochi Autodrom,Russia,5.848,2,1.9,8,11,1023.131,61.947,21.757,0.291,0,0,0
1067,2021,16,Turkish Grand Prix,10/10/2021,5,Istanbul Park,Turkey,5.338,130,46,8,6,1006.41,93.525,18.181,0.487,0,0,0
1069,2021,17,United States Grand Prix,24/10/2021,69,Circuit of the Americas,USA,5.513,161,30.9,12,8,992.13,61.193,37.471,0.854,0,0,0
1070,2021,18,Mexico City Grand Prix,07/11/2021,32,Autódromo Hermanos Rodríguez,Mexico,4.304,2227,2.8,7,10,784.213,31.211,47.579,0.366,0,0,1
1071,2021,19,São Paulo Grand Prix,14/11/2021,18,Autódromo José Carlos Pace,Brazil,4.309,785,43,10,5,926.93,60.101,51.561,0.392,0,0,1
1072,2021,21,Saudi Arabian Grand Prix,05/12/2021,77,Jeddah Street Circuit,Saudi Arabia,6.174,15,10,16,11,1013.797,76.203,31.685,0.272,0,2,1
1073,2021,22,Abu Dhabi Grand Prix,12/12/2021,24,Yas Marina Circuit,UAE,5.281,3,10.7,9,7,1017.711,59.055,28.466,0.415,0,0,1
