constructorStandingsId,raceId,constructorId,constructor_name,points,position,wins,constructor_nationality
27105,1003,9,Red Bull,274,3,3,Austrian
27106,1003,1,McLaren,58,6,0,British
27107,1003,4,Renault,91,4,0,French
27108,1003,10,Force India,32,7,0,Indian
27109,1003,15,Sauber,21,9,0,Swiss
27110,1003,3,Williams,7,10,0,British
27111,1003,5,Toro Rosso,30,8,0,Italian
27112,1003,210,Haas F1 Team,76,5,0,American
27113,1004,6,Ferrari,442,2,5,Italian
27114,1004,131,Mercedes,495,1,8,German
27115,1004,9,Red Bull,292,3,3,Austrian
27116,1004,1,McLaren,58,6,0,British
27117,1004,4,Renault,91,4,0,French
27118,1004,10,Force India,35,7,0,Indian
27119,1004,15,Sauber,27,9,0,Swiss
27120,1004,3,Williams,7,10,0,British
27121,1004,5,Toro Rosso,30,8,0,Italian
27122,1004,210,Haas F1 Team,80,5,0,American
27123,1005,6,Ferrari,460,2,5,Italian
27124,1005,131,Mercedes,538,1,9,German
27125,1005,9,Red Bull,319,3,3,Austrian
27126,1005,1,McLaren,58,6,0,British
27127,1005,4,Renault,92,4,0,French
27128,1005,10,Force India,43,7,0,Indian
27129,1005,15,Sauber,27,9,0,Swiss
27130,1005,3,Williams,7,10,0,British
27131,1005,5,Toro Rosso,30,8,0,Italian
27132,1005,210,Haas F1 Team,84,5,0,American
27152,1006,210,Haas F1 Team,84,5,0,American
27151,1006,5,Toro Rosso,32,8,0,Italian
27150,1006,3,Williams,7,10,0,British
27148,1006,10,Force India,47,7,0,Indian
27146,1006,1,McLaren,58,6,0,British
27144,1006,131,Mercedes,563,1,9,German
27149,1006,15,Sauber,28,9,0,Swiss
27143,1006,6,Ferrari,497,2,6,Italian
27145,1006,9,Red Bull,337,3,3,Austrian
27147,1006,4,Renault,106,4,0,French
27153,1007,6,Ferrari,530,2,6,Italian
27154,1007,131,Mercedes,585,1,9,German
27155,1007,9,Red Bull,362,3,4,Austrian
27156,1007,1,McLaren,62,6,0,British
27157,1007,4,Renault,114,4,0,French
27158,1007,10,Force India,47,7,0,Indian
27159,1007,15,Sauber,36,8,0,Swiss
27160,1007,3,Williams,7,10,0,British
27161,1007,5,Toro Rosso,33,9,0,Italian
27162,1007,210,Haas F1 Team,84,5,0,American
27163,1008,6,Ferrari,553,2,6,Italian
27164,1008,131,Mercedes,620,1,10,German
27165,1008,9,Red Bull,392,3,4,Austrian
27166,1008,1,McLaren,62,6,0,British
27167,1008,4,Renault,114,4,0,French
27168,1008,10,Force India,48,7,0,Indian
27169,1008,15,Sauber,42,8,0,Swiss
27170,1008,3,Williams,7,10,0,British
27171,1008,5,Toro Rosso,33,9,0,Italian
27172,1008,210,Haas F1 Team,90,5,0,American
27173,1009,6,Ferrari,571,2,6,Italian
27174,1009,131,Mercedes,655,1,11,German
27175,1009,9,Red Bull,419,3,4,Austrian
27176,1009,1,McLaren,62,6,0,British
27177,1009,4,Renault,122,4,0,French
27178,1009,10,Force India,52,7,0,Indian
27179,1009,15,Sauber,48,8,0,Swiss
27180,1009,3,Williams,7,10,0,British
27181,1009,5,Toro Rosso,33,9,0,Italian
27182,1009,210,Haas F1 Team,93,5,0,American
27197,1010,4,Renault,6,5,0,French
27196,1010,210,Haas F1 Team,8,4,0,American
27195,1010,6,Ferrari,22,2,0,Italian
27194,1010,9,Red Bull,15,3,0,Austrian
27193,1010,131,Mercedes,44,1,1,German
27198,1010,51,Alfa Romeo,4,6,0,Swiss
27199,1010,211,Racing Point,2,7,0,British
27200,1010,5,Toro Rosso,1,8,0,Italian
27201,1010,1,McLaren,0,9,0,British
27202,1010,3,Williams,0,10,0,British
27222,1011,3,Williams,0,10,0,British
27220,1011,5,Toro Rosso,3,8,0,Italian
27215,1011,6,Ferrari,48,2,0,Italian
27221,1011,1,McLaren,8,5,0,British
27218,1011,51,Alfa Romeo,10,4,0,Swiss
27214,1011,9,Red Bull,31,3,0,Austrian
27219,1011,211,Racing Point,3,9,0,British
27217,1011,4,Renault,6,7,0,French
27216,1011,210,Haas F1 Team,8,6,0,American
27213,1011,131,Mercedes,87,1,2,German
27223,1012,131,Mercedes,130,1,3,German
27224,1012,9,Red Bull,52,3,0,Austrian
27225,1012,6,Ferrari,73,2,0,Italian
27226,1012,210,Haas F1 Team,8,6,0,American
27227,1012,4,Renault,12,4,0,French
27228,1012,51,Alfa Romeo,12,5,0,Swiss
27229,1012,211,Racing Point,7,8,0,British
27230,1012,5,Toro Rosso,4,9,0,Italian
27231,1012,1,McLaren,8,7,0,British
27232,1012,3,Williams,0,10,0,British
27233,1013,131,Mercedes,173,1,4,German
27234,1013,9,Red Bull,64,3,0,Austrian
27235,1013,6,Ferrari,99,2,0,Italian
27236,1013,210,Haas F1 Team,8,8,0,American
27237,1013,4,Renault,12,7,0,French
27238,1013,51,Alfa Romeo,13,6,0,Swiss
27239,1013,211,Racing Point,17,5,0,British
27240,1013,5,Toro Rosso,4,9,0,Italian
27241,1013,1,McLaren,18,4,0,British
27242,1013,3,Williams,0,10,0,British
27243,1014,131,Mercedes,217,1,5,German
27244,1014,9,Red Bull,87,3,0,Austrian
27245,1014,6,Ferrari,121,2,0,Italian
27246,1014,210,Haas F1 Team,15,6,0,American
27247,1014,4,Renault,12,8,0,French
27248,1014,51,Alfa Romeo,13,7,0,Swiss
27249,1014,211,Racing Point,17,5,0,British
27250,1014,5,Toro Rosso,6,9,0,Italian
27251,1014,1,McLaren,22,4,0,British
27252,1014,3,Williams,0,10,0,British
27253,1015,131,Mercedes,257,1,6,German
27254,1015,9,Red Bull,110,3,0,Austrian
27255,1015,6,Ferrari,139,2,0,Italian
27256,1015,210,Haas F1 Team,16,6,0,American
27257,1015,4,Renault,14,8,0,French
27258,1015,51,Alfa Romeo,13,9,0,Swiss
27259,1015,211,Racing Point,17,5,0,British
27260,1015,5,Toro Rosso,16,7,0,Italian
27261,1015,1,McLaren,30,4,0,British
27262,1015,3,Williams,0,10,0,British
27263,1016,131,Mercedes,295,1,7,German
27264,1016,9,Red Bull,124,3,0,Austrian
27265,1016,6,Ferrari,172,2,0,Italian
27266,1016,210,Haas F1 Team,16,8,0,American
27267,1016,4,Renault,28,5,0,French
27268,1016,51,Alfa Romeo,13,9,0,Swiss
27269,1016,211,Racing Point,19,6,0,British
27270,1016,5,Toro Rosso,17,7,0,Italian
27271,1016,1,McLaren,30,4,0,British
27272,1016,3,Williams,0,10,0,British
27302,1017,3,Williams,0,10,0,British
27300,1017,5,Toro Rosso,17,8,0,Italian
27301,1017,1,McLaren,40,4,0,British
27299,1017,211,Racing Point,19,6,0,British
27297,1017,4,Renault,32,5,0,French
27298,1017,51,Alfa Romeo,19,7,0,Swiss
27296,1017,210,Haas F1 Team,16,9,0,American
27295,1017,6,Ferrari,198,2,0,Italian
27294,1017,9,Red Bull,137,3,0,Austrian
27293,1017,131,Mercedes,338,1,8,German
27304,1018,9,Red Bull,169,3,1,Austrian
27303,1018,131,Mercedes,363,1,8,German
27305,1018,6,Ferrari,228,2,0,Italian
27306,1018,210,Haas F1 Team,16,9,0,American
27307,1018,4,Renault,32,5,0,French
27308,1018,51,Alfa Romeo,22,6,0,Swiss
27309,1018,211,Racing Point,19,7,0,British
27310,1018,5,Toro Rosso,17,8,0,Italian
27311,1018,1,McLaren,52,4,0,British
27312,1018,3,Williams,0,10,0,British
27313,1019,131,Mercedes,407,1,9,German
27314,1019,9,Red Bull,191,3,1,Austrian
27315,1019,6,Ferrari,243,2,0,Italian
27316,1019,210,Haas F1 Team,16,9,0,American
27317,1019,4,Renault,39,5,0,French
27318,1019,51,Alfa Romeo,26,6,0,Swiss
27319,1019,211,Racing Point,19,7,0,British
27320,1019,5,Toro Rosso,19,8,0,Italian
27321,1019,1,McLaren,60,4,0,British
