,race_id,year,round,race_name,race_date,circuit_id,circuit_name,circuit_country,circuit_length_KM,circuit_altitude_M,circuit_elevation_change_M,circuit_num_left_turns,circuit_num_right_turns,pressure_mb,humidity_percent,track_temp_C,windspeed_KPH,rainfall,num_red_flag,num_safety_car,constructorStandingsId,constructorId,constructor_name,points,position,wins,constructor_nationality
29,991,2018,3,Chinese Grand Prix,15/04/2018,17,Shanghai International Circuit,China,5.451,5,7.4,7,9,1018.131,24.089,37.02,1.837,0,0,1,26972,210,Haas F1 Team,11.0,7,0,American
30,992,2018,4,Azerbaijan Grand Prix,29/04/2018,73,Baku City Circuit,Azerbaijan,6.003,-7,26.8,12,8,1021.913,45.652,25.252,2.223,0,0,2,26983,6,Ferrari,114.0,1,2,Italian
31,992,2018,4,Azerbaijan Grand Prix,29/04/2018,73,Baku City Circuit,Azerbaijan,6.003,-7,26.8,12,8,1021.913,45.652,25.252,2.223,0,0,2,26984,131,Mercedes,110.0,2,1,German
32,992,2018,4,Azerbaijan Grand Prix,29/04/2018,73,Baku City Circuit,Azerbaijan,6.003,-7,26.8,12,8,1021.913,45.652,25.252,2.223,0,0,2,26985,9,Red Bull,55.0,3,1,Austrian
33,992,2018,4,Azerbaijan Grand Prix,29/04/2018,73,Baku City Circuit,Azerbaijan,6.003,-7,26.8,12,8,1021.913,45.652,25.252,2.223,0,0,2,26986,1,McLaren,36.0,4,0,British
34,992,2018,4,Azerbaijan Grand Prix,29/04/2018,73,Baku City Circuit,Azerbaijan,6.003,-7,26.8,12,8,1021.913,45.652,25.252,2.223,0,0,2,26987,4,Renault,35.0,5,0,French
35,992,2018,4,Azerbaijan Grand Prix,29/04/2018,73,Baku City Circuit,Azerbaijan,6.003,-7,26.8,12,8,1021.913,45.652,25.252,2.223,0,0,2,26988,10,Force India,16.0,6,0,Indian
36,992,2018,4,Azerbaijan Grand Prix,29/04/2018,73,Baku City Circuit,Azerbaijan,6.003,-7,26.8,12,8,1021.913,45.652,25.252,2.223,0,0,2,26989,15,Sauber,10.0,9,0,Swiss
37,992,2018,4,Azerbaijan Grand Prix,29/04/2018,73,Baku City Circuit,Azerbaijan,6.003,-7,26.8,12,8,1021.913,45.652,25.252,2.223,0,0,2,26990,3,Williams,4.0,10,0,British
38,992,2018,4,Azerbaijan Grand Prix,29/04/2018,73,Baku City Circuit,Azerbaijan,6.003,-7,26.8,12,8,1021.913,45.652,25.252,2.223,0,0,2,26991,5,Toro Rosso,13.0,7,0,Italian
39,992,2018,4,Azerbaijan Grand Prix,29/04/2018,73,Baku City Circuit,Azerbaijan,6.003,-7,26.8,12,8,1021.913,45.652,25.252,2.223,0,0,2,26992,210,Haas F1 Team,11.0,8,0,American
40,993,2018,5,Spanish Grand Prix,13/05/2018,4,Circuit de Barcelona-Catalunya,Spain,4.675,109,29.6,7,9,1001.542,52.287,32.339,1.952,1,0,1,26993,6,Ferrari,126.0,2,2,Italian
41,993,2018,5,Spanish Grand Prix,13/05/2018,4,Circuit de Barcelona-Catalunya,Spain,4.675,109,29.6,7,9,1001.542,52.287,32.339,1.952,1,0,1,26994,131,Mercedes,153.0,1,2,German
42,993,2018,5,Spanish Grand Prix,13/05/2018,4,Circuit de Barcelona-Catalunya,Spain,4.675,109,29.6,7,9,1001.542,52.287,32.339,1.952,1,0,1,26995,9,Red Bull,80.0,3,1,Austrian
43,993,2018,5,Spanish Grand Prix,13/05/2018,4,Circuit de Barcelona-Catalunya,Spain,4.675,109,29.6,7,9,1001.542,52.287,32.339,1.952,1,0,1,26996,1,McLaren,40.0,5,0,British
44,993,2018,5,Spanish Grand Prix,13/05/2018,4,Circuit de Barcelona-Catalunya,Spain,4.675,109,29.6,7,9,1001.542,52.287,32.339,1.952,1,0,1,26997,4,Renault,41.0,4,0,French
45,993,2018,5,Spanish Grand Prix,13/05/2018,4,Circuit de Barcelona-Catalunya,Spain,4.675,109,29.6,7,9,1001.542,52.287,32.339,1.952,1,0,1,26998,10,Force India,18.0,7,0,Indian
46,993,2018,5,Spanish Grand Prix,13/05/2018,4,Circuit de Barcelona-Catalunya,Spain,4.675,109,29.6,7,9,1001.542,52.287,32.339,1.952,1,0,1,26999,15,Sauber,11.0,9,0,Swiss
47,993,2018,5,Spanish Grand Prix,13/05/2018,4,Circuit de Barcelona-Catalunya,Spain,4.675,109,29.6,7,9,1001.542,52.287,32.339,1.952,1,0,1,27000,3,Williams,4.0,10,0,British
48,993,2018,5,Spanish Grand Prix,13/05/2018,4,Circuit de Barcelona-Catalunya,Spain,4.675,109,29.6,7,9,1001.542,52.287,32.339,1.952,1,0,1,27001,5,Toro Rosso,13.0,8,0,Italian
49,993,2018,5,Spanish Grand Prix,13/05/2018,4,Circuit de Barcelona-Catalunya,Spain,4.675,109,29.6,7,9,1001.542,52.287,32.339,1.952,1,0,1,27002,210,Haas F1 Team,19.0,6,0,American
