,race_id,Pressure,Humidity,TrackTemp,WindSpeed,Rainfall
0,992,1021.7,46.1,27.1,2.1,False
1,992,1021.5,46.1,27.2,2.1,False
2,992,1021.5,46.3,27.3,2.2,False
3,992,1021.8,46.4,27.5,2.5,False
4,992,1021.9,46.1,27.7,3.0,False
5,992,1021.6,46.1,27.9,2.2,False
6,992,1021.6,46.1,27.9,2.2,False
7,992,1021.6,46.1,27.9,3.4,False
8,992,1021.8,46.6,27.7,3.0,False
9,992,1021.7,46.5,28.0,2.8,False
10,992,1021.5,46.5,28.0,3.2,False
11,992,1021.6,47.4,27.8,2.5,False
12,992,1021.8,47.1,27.8,3.3,False
13,992,1021.7,47.1,27.7,1.9,False
14,992,1021.5,47.4,27.5,2.2,False
15,992,1021.6,47.8,27.5,1.9,False
16,992,1021.6,47.8,27.5,1.9,False
17,992,1021.8,47.6,27.7,3.2,False
18,992,1021.8,47.5,27.5,2.3,False
19,992,1021.7,47.4,27.2,1.6,False
20,992,1021.7,47.5,27.2,1.7,False
21,992,1021.5,46.9,27.2,3.6,False
22,992,1021.6,47.1,27.1,2.9,False
23,992,1021.8,46.7,26.9,2.7,False
24,992,1021.5,46.9,26.9,3.0,False
25,992,1021.8,47.5,26.8,1.7,False
26,992,1021.5,47.2,26.7,2.2,False
27,992,1021.5,47.2,26.7,2.2,False
28,992,1021.6,46.9,26.7,2.8,False
29,992,1021.7,47.1,26.5,2.0,False
30,992,1021.7,47.1,26.5,2.0,False
31,992,1021.8,47.1,26.4,2.2,False
32,992,1021.7,46.8,26.3,2.5,False
33,992,1021.7,46.7,26.2,1.9,False
34,992,1021.7,46.9,26.1,3.2,False
35,992,1021.8,46.8,26.0,2.2,False
36,992,1021.9,47.3,26.0,1.1,False
37,992,1022.2,47.3,25.8,2.4,False
38,992,1021.8,47.5,25.7,2.0,False
39,992,1021.8,47.5,25.7,2.0,False
40,992,1021.7,47.4,25.7,2.8,False
41,992,1021.9,46.8,25.7,3.9,False
42,992,1021.6,47.3,25.6,2.1,False
43,992,1021.8,47.5,25.5,3.5,False
44,992,1021.8,47.4,25.4,2.8,False
45,992,1021.9,47.5,25.4,2.0,False
46,992,1021.8,46.8,25.3,2.4,False
47,992,1021.9,47.5,25.3,1.6,False
48,992,1022.0,47.1,25.3,2.7,False
49,992,1022.0,47.1,25.1,2.9,False
50,992,1022.0,47.1,25.1,2.9,False
51,992,1022.0,47.1,25.1,1.4,False
52,992,1022.1,46.9,25.1,2.0,False
53,992,1021.9,46.9,25.0,2.1,False
54,992,1022.2,47.1,25.0,2.0,False
55,992,1021.9,46.9,25.0,3.1,False
56,992,1022.0,46.8,24.9,2.8,False
57,992,1022.0,46.8,24.9,2.8,False
58,992,1022.0,46.4,24.9,2.0,False
59,992,1021.8,46.5,24.9,1.6,False
60,992,1022.0,46.7,24.9,1.0,False
61,992,1022.2,46.3,24.7,2.4,False
62,992,1022.0,46.0,24.7,1.9,False
63,992,1022.0,46.2,24.7,1.7,False
64,992,1022.0,46.4,24.7,2.1,False
65,992,1022.0,46.2,24.6,2.7,False
66,992,1022.3,46.8,24.5,2.4,False
67,992,1021.9,46.9,24.3,1.2,False
68,992,1022.1,46.7,24.4,2.0,False
69,992,1021.8,46.0,24.4,2.2,False
70,992,1022.1,46.0,24.4,2.1,False
71,992,1022.1,45.8,24.3,2.9,False
72,992,1022.1,45.8,24.3,2.9,False
73,992,1022.1,45.9,24.3,2.2,False
74,992,1022.2,45.6,24.2,1.6,False
75,992,1021.9,45.3,24.1,2.9,False
76,992,1021.9,45.3,24.1,2.9,False
77,992,1022.1,45.3,23.9,2.6,False
78,992,1022.1,45.3,23.9,2.4,False
79,992,1022.0,44.6,23.9,2.5,False
80,992,1021.9,44.7,23.8,1.5,False
81,992,1022.0,44.3,24.1,2.3,False
82,992,1022.1,44.0,23.9,2.0,False
83,992,1022.1,43.7,23.9,2.5,False
84,992,1022.1,44.0,23.7,2.4,False
85,992,1022.0,44.1,23.7,2.4,False
86,992,1022.0,44.1,23.7,2.4,False
87,992,1022.1,43.3,23.4,2.5,False
88,992,1022.2,43.6,23.7,1.4,False
89,992,1022.1,43.7,23.7,2.0,False
90,992,1022.2,43.3,23.7,3.4,False
91,992,1022.1,43.0,23.5,1.2,False
92,992,1022.1,43.0,23.5,1.2,False
93,992,1022.0,42.7,23.6,1.6,False
94,992,1022.1,42.9,23.6,1.5,False
95,992,1022.2,42.8,23.6,1.4,False
96,992,1022.2,42.8,23.6,1.4,False
97,992,1022.1,42.4,23.6,2.2,False
98,992,1022.1,42.4,23.6,2.2,False
99,992,1022.0,42.6,23.6,1.2,False
100,992,1022.1,42.7,23.6,1.9,False
101,992,1022.1,42.7,23.6,2.4,False
102,992,1022.0,42.7,23.6,1.8,False
103,992,1022.0,42.7,23.6,1.8,False
104,992,1021.9,43.1,23.7,2.5,False
105,992,1022.1,42.2,23.9,1.0,False
106,992,1022.1,42.2,23.9,1.0,False
107,992,1022.1,42.7,23.9,2.1,False
108,992,1022.1,42.8,23.7,1.8,False
109,992,1022.3,42.6,23.7,1.3,False
110,992,1022.3,42.6,23.7,1.3,False
111,992,1022.1,43.2,23.7,2.6,False
112,992,1022.1,43.3,23.6,1.8,False
113,992,1022.3,43.4,23.7,1.6,False
